Category,Package,Duration,Pricing shown,Itinerary shape,URL
Kenya Safaris,4 Days 3 Nights Lake Nakuru / Maasai Mara - Luxury Safari,4 Days 3 Nights,US$170; US$1309,Nairobi - Masai Mara Game Reserve Your safari driver guide will pick you up from Airport or your hotel early in the morn | Discover Masai Mara Game Reserve The search for great predators and perhaps even cubs continues today during extensive g | Masai Mara - Lake Nakuru National Park Today we travel to the exotic Lake Nakuru National Park located in the Great Rift | Lake Nakuru - Nairobi Depart after breakfast with a game drive en-route to Nairobi arriving at lunchtime,https://ashford-tours.com/product/4-days-3-nights-lake-nakuru-maasai-mara-luxury-safari/
Kenya Safaris,5 Days 4 Nights Ol Pejeta Sweetwaters Conservancy - Nakuru National Park - Masai Mara,5 Days 4 Nights,US$612; US$2233,"Nairobi - Sweetwaters Game Sanctuary Your safari driver guide will either pick you up from the Airport or from your hote | Sweetwater's/Ol Pejeta - Lake Nakuru National Park Depart Sweetwater's/Ol Pejeta after breakfast for Lake Nakuru Nationa | Lake Nakuru - Masai Mara Game Reserve After a leisure breakfast at your lodge, depart overland to the Masai Mara Game Re | Explore Masai Mara Game Reserve The Masai Mara is one of the greatest wildernesses of the world | Masai Mara Game Reserve - Nairobi Begin today with an early morning ‘Spice' game drive followed by a complete English br",https://ashford-tours.com/product/5-days-4-nights-ol-pejeta-sweetwaters-conservancy-nakuru-national-park-masai-mara/
Kenya Safaris,6 Days 5 Night Amboseli/ Lake Nakuru / Masai Mara Luxury Safari Package,6 Days 5 Night,US$680; US$3033,"Nairobi - Amboseli | Amboseli Full day Early morning game drive and later return to the lodge for breakfast | Amboseli - Nairobi - Nakuru Early morning breakfast before departure for Lake Nakuru National Park | Lake Nakuru - Masai Mara Game Reserve After a leisure breakfast at your lodge, depart overland to the Masai Mara Game Re | Explore Masai Mara Game Reserve The Masai Mara is one of the greatest wildernesses of the world | Masai Mara Game Reserve - Nairobi Begin today with an early morning ‘Spice' game drive followed by a complete English br",https://ashford-tours.com/product/6-days-5-night-amboseli-lake-nakuru-masai-mara-luxury-safari-package/
Kenya Safaris,7 Days 6 Night Amboseli/ Aberdares / Lake Nakuru / Masai Mara Luxury Safari Package,7 Days 6 Night,US$730; US$2586; US$1293,"Nairobi - Amboseli | Amboseli Full day Early morning game drive and later return to the lodge for breakfast | Amboseli National Park - Aberdare National Park (Forest Tree lodge) Depart Amboseli after breakfast | Aberdares (Forest Tree lodge) - Nakuru National Park Lake Nakuru National Park is the destination today | Lake Nakuru - Masai Mara Game Reserve After a leisure breakfast at your lodge, depart overland to the Masai Mara Game Re | Explore Masai Mara Game Reserve The Masai Mara is one of the greatest wildernesses of the world | Masai Mara Game Reserve - Nairobi Begin today with an early morning ‘Spice' game drive followed by a complete English br",https://ashford-tours.com/product/7-days-6-night-amboseli-aberdares-lake-nakuru-masai-mara-luxury-safari-package/
Kenya Safaris,"8 Days (7 Nights) Aberdares, Samburu, Olpajeta, Lake Nakuru, Masai Mara Safari Package",8 Days (7 Nights),US$720; US$2953; US$1477,"Nairobi - Aberdares National Park Pick up from your Nairobi hotel or Airport in the morning and depart Nairobi to Aberda | Aberdares National Park - Samburu Game Reserve Leave Aberdares and depart for Samburu Game Reserve after breakfast via I | Samburu Game Reserve Spend a whole day in Samburu National Reserve with morning and afternoon game drives; spot the rare | Samburu Game Reserve - Olpajeta Ranch, Sweet Water sanctuary Early morning breakfast | Sweet Water - Lake Nakuru Early morning breakfast, then depart for Lake Nakuru National Park Via Isiolo | Lake Nakuru National Park - Maasai Mara Game Reserve Early morning breakfast | Maasai Mara National Reserve Spend a whole day viewing wildlife in Masai Mara Game reserve with morning and afternoon ga | Masai Mara - Nairobi Early Morning breakfast at your camp, check out of the camp and drive to Nairobi",https://ashford-tours.com/product/8-days-7-nights-aberdares-samburu-olpajeta-lake-nakuru-masai-mara-safari-package/
Kenya Safaris,9 Days 8 Nights Tsavo East/Tsavo West/Amboseli/Mount Kenya/Lake Nakuru/Masai Mara Luxury Safari Package,9 Days 8 Nights,Not clearly listed,Nairobi - Tsavo East National Park | Tsavo East - Tsavo West National Park | Tsavo West - Amboseli National Park | Amboseli National Park | Amboseli - Mount Kenya National Park | Mount Kenya - Lake Nakuru National Park | Lake Nakuru -Maasai Mara Game Reserve | Maasai Mara Game Reserve,https://ashford-tours.com/product/9-days-8-nights-tsavo-east-tsavo-west-amboseli-mount-kenya-lake-nakuru-masai-mara-luxury-safari-package/
Mombasa Excursions,"Dolphin Safaris, Snorkeling, Seafood Lunch",,US$1,,https://ashford-tours.com/product/dolphin-safaris-snorkeling-seafood-lunch/
Mombasa Excursions,Morning half day city tour of Mombasa,,US$200 per person,,https://ashford-tours.com/product/morning-half-day-city-tour-of-mombasa/
Mombasa Excursions,Shimba Hills National Park Day Trip,,US$100 per person; US$150; Rates from US$150,,https://ashford-tours.com/product/shimba-hills-national-park-day-trip/
Mombasa Excursions,Tamarind Evening Dhow - Mombasa,,US$110 per person,,https://ashford-tours.com/product/tamarind-evening-dhow-mombasa/
Mount Kenya,Mount Kenya Climbing 6 Days Land of Contrast,6 Days,Not clearly listed,"Nairobi- Judmaiers Camp (3,300m) Pickup from Nairobi Aiport or Hotel and be driven to Mt | Judmaier Camp - Sirimon valley (3,940m) After breakfast trek up the moorland and break away from Sirimon track at altitu | Sirimon valley - Hall Tarns (4,300m) An early start out of the Sirimon Valley and into the head of the Hinde Valley | Excursion Day Descend to Lake Michaelson, in the depth of the Gorges Valley | Hall Tarns - Pt",https://ashford-tours.com/product/mount-kenya-climbing-6-days-land-of-contrast/
Mount Kenya,"Mt. Kenya 4 Days Trekking (Ascend Naromoru, descend Naromoro route)",4 Days,Not clearly listed,Nairobi - Naromoru park gate - Met | Mackinder's Camp - Pt,https://ashford-tours.com/product/mt-kenya-4-days-trekking/
Mount Kenya,Mt. Kenya 5 Days Chogoria - Naromoru trek,5 Days,Not clearly listed,"Nairobi - Mt Kenya Bandas (2,900m) Depart from Nairobi early 0700hrs and be driven towards Mt | Mt Kenya Bandas - Lake Ellis Campsite (3,600m) After breakfast and sorting of porter loads we set off up the mountain at | Lake Ellis - Minto`s Camp (4,200m) Depart early and start well off the beaten track to follow a ridge up the mountain fo | Minto`s - Pt",https://ashford-tours.com/product/mt-kenya-5-days-chogoria-naromoru-trek/
Mount Kenya,Mt. Kenya 5 Days Sirimon - Naromoru trek,5 Days,US$140; Rates from US$140,"Nairobi - Sirimon gate- Judmaier camp (3,300m) | Judmaier camp - Liki North camp (3,990m) | Liki North- Shiptons camp (4,300m) | Shiptons camp - Pt",https://ashford-tours.com/product/mt-kenya-5-days-sirimon-naromoru-trek/
Mount Kenya,Mt. Kenya 7 Days Chogoria Traverse,7 Days,Not clearly listed,"Nairobi- Meru Bandas (2,900m) Pick up transfer from Nairobi to chogoria- Mt Kenya Bandas (2,900m) Depart Nairobi at 0800 | Mt Kenya Bandas - Lake Ellis Campsite (3,600m) After breakfast and sorting of porter loads we set off up the mountain at | Lake Ellis- Minto`s Camp | Minto`s camp - Acclimatization day | Minto`s - Pt | Shipton - Teleki Valley- Met",https://ashford-tours.com/product/mt-kenya-7-days-chogoria-traverse/
Mount Kilimanjaro,,,Not clearly listed,,https://ashford-tours.com/product/11-days-mount-kilimanjaro-northern-circuit/
Mount Kilimanjaro,,,Not clearly listed,,https://ashford-tours.com/product/8-days-kilimanjaro-machame-route/
Mount Kilimanjaro,,,Not clearly listed,,https://ashford-tours.com/product/8-days-mount-kilimanjaro-rongai-route/
Mount Kilimanjaro,10 Days Kilimanjaro Lemosho Route,10 Days,Not clearly listed,"Kilimanjaro Airport to Moshi We will send a driver to the airport to pick you up and take you to the hotel in Moshi | Starting point (2,300m) to Mti Mkubwa (2,750m) Walking Time: 3 hours Distance: 7 km Altitude Gain: 450m You will enjoy a | Mti Mkubwa (2,750m) to Shira Camp 1 (3,550m) Walking Time: 6-7 hours Distance: 10 km Altitude Gain: 800m As the trail be | Shira Camp 1 (3,550m) to Shira Camp 2 (3,840m) Walking Time: 3-4hours Distance: 8km Altitude Gain: 290m You will begin t | Shira Camp 2 (3,840m) to Barranco Camp (3,950m) via Lava Tower Walking Time: 6-7 hours Distance: 11km Altitude Gain: 110 | Barranco Camp (3,950m) to Karanga Camp (3,930m) Walking Time: 4 - 5 hours Distance: 5km Altitude Gain: 200m Altitude Los | Karanga Camp (3,930m) to Barafu Camp (4,700m) Walking Time: 2- 4 hours Distance: 4km Altitude Gain: 770m The rocky zone | Barafu Camp (4,700m) to Summit (5,895m) (midnight start) descent to Mweka Camp (3,100m) Walking Time: 14 - 16 hours Dist",https://ashford-tours.com/product/10-days-kilimanjaro-lemosho-route/
Mount Kilimanjaro,11 Days Mount Kilimanjaro Western Breach,11 Days,Not clearly listed,"Kilimanjaro Airport to Moshi We'll pick you up from Kilimanjaro Airport and transfer you to a comfortable hotel or B&B i | Moshi - Forest Camp (2821m) (via Londorossi Gate (2424m), Lemosho Route) Walking Time: 3 | admiring the patchwork fields of the coffee and banana plantations as you're driven along the south boundary of majestic | Forest Camp (2821m) - Shira Camp 1 (3350m) Walking Time: 5-6 hours Distance: 9 km Altitude Gain: 529m It's an early star | Shira Camp 1 (3350m) - Moir Camp (4,200m) Walking Time: 5-7 hours Distance: 14km Altitude Gain: 850m Today you'll wake t | Moir Camp (4,200m) - Sheffield Camp (4,338m) Walking Time: 4-5 hours Distance: 5km Altitude Gain: 138m After a restful s | Acclimatization day at Sheffield Camp Although you've climbed high, there's more climbing to do and it's important that | Sheffield Camp (4338m) - Arrow Glacier Camp (4800m) Walking Time: 3 hours Distance: 2km Altitude Loss: 462m We hope you",https://ashford-tours.com/product/11-days-mount-kilimanjaro-western-breach/
Mount Kilimanjaro,8 Days Kilimanjaro Marangu Route,8 Days,US$100; Rates from US$100,"Kilimanjaro Airport to Moshi A driver will pick you up from the airport | Marangu Gate (1,800m/5,905ft) to Mandara Hut (2,743m/9,000ft) Elevation Gain: 943 meters (3,000 feet) Walking Time:3-4 h | Mandara Hut (2,743m/9,000ft) to Horombo Hut (3,720m/12,200ft) Elevation Gain: 977 meters (3,200 feet) Walking Time:5-6 h | Horombo Hut (3,720m/12,200ft) to Mawenzi Hut (4,600m/15,100ft) to Horombo Hut (3,720m/12,200ft) Elevation Gain and Loss | Horombo Hut (3,720m/12,200ft) to Kibo Hut (4,750m/15,580ft) Elevation Gain: 1,030 meters (3,380 feet) Walking Time: 6-8h | Kibo Hut (4,750m/15,580ft) to Summit (5,895m/19,340ft) to Horombo Hut (3,720m/12,200ft) Elevation Gain: 1,145 meters (3, | Horombo Hut (3,720m/12,200ft) to Marangu Gate (1,800m/5,905ft) to Moshi Elevation Loss: 1,920 meters (6,295 feet) Walkin | Moshi to Kilimanjaro Airport A driver will transfer you to Kilimanjaro Airport, from where you will connect your flight",https://ashford-tours.com/product/8-days-kilimanjaro-marangu-route/
Mount Kilimanjaro,8 Days Mount Kilimanjaro Umbwe Route,8 Days,Not clearly listed,"Kilimanjaro Airport to Moshi Our driver will pick you up at the airport and take you to the hotel for briefing | Moshi to Umbwe Cave Camp Elevation Gain: 1250 metres Walking Time: 5-7 hours Distance: 10 | Umbwe Cave Camp to Barranco Camp Elevation Gain: 1150 meters Walking Time: 4-6 hours Distance: 6 | Barranco Camp to Karanga Camp Elevation Gain and Loss: 300 meters Walking Time: 4-6hours Distance: 6km The first thing t | Karanga Camp to Barafu Camp Elevation Gain: 641 meters Walking Time: 4-5hours Distance: 3 | Barafu Camp to Uhuru Peak to Mweka Camp Elevation Gain: 1,295 meters Elevation Loss: 2,795 meters Walking Time: 14-16hou | Mweka Camp to Mweka Gate to Moshi Elevation Loss: 1,600 meters Walking Time: 3-4hours Distance: 10km With Uhuru Peak a g | Moshi to Kilimanjaro Airport Transfer to Kilimanjaro Airport, from where you will connect your flight back home",https://ashford-tours.com/product/8-days-mount-kilimanjaro-umbwe-route/
Nairobi Excursions,Bomas Of Kenya Tour - 3 Hours,,Tour cost: US$50 per person; US$50 per person,,https://ashford-tours.com/product/bomas-of-kenya-tour-3-hours/
Nairobi Excursions,Carnivore Restaurant Nairobi - 2 Hours,,Tour cost: US$45 per person; US$45 per person,,https://ashford-tours.com/product/carnivore-restaurant-nairobi-2-hours/
Nairobi Excursions,Crescent Island Game Conservancy Tour Naivasha,,Not clearly listed,,https://ashford-tours.com/product/crescent-island-game-conservancy-tour-naivasha/
Nairobi Excursions,Crocodile Farm Nairobi | Visit Nairobi Mamba Village Tour,,Tour cost: US$60 per person; US$60 per person,,https://ashford-tours.com/product/nairobi-mamba-village-crocodile/
Nairobi Excursions,"David Sheldrick Elephant Orphanage, Giraffe centre and Karen Blixen tours - 5 hours",,Tour cost: US$95 per person; US$95 per person; US$45 per person,,https://ashford-tours.com/product/sheldrick-elephant-orphanage-karen-blixen-and-giraffe-centre-tours-5-hours/
Nairobi Excursions,"Farm Tours Kenya | Coffee, Tea & Agricultural Farm Experiences",,Tour cost: US$115 per person; US$115 per person,,https://ashford-tours.com/product/farm-tours-kenya/
Nairobi Excursions,Hell's Gate National Park Tour,,Not clearly listed,,https://ashford-tours.com/product/hells-gate-national-park-tour/
Nairobi Excursions,Hot Air Balloon Safari,,US$450 per person; US$95,,https://ashford-tours.com/product/hot-air-balloon-safari/
Nairobi Excursions,Karen Blixen And Giraffe Centre - 4 Hours,,Tour cost: US$65 per person; US$65 per person; US$45 per person,,https://ashford-tours.com/product/karen-blixen-and-giraffe-centre-4-hours/
Nairobi Excursions,"Kazuri Beads Factory And Pottery Centre, Karen Blixen And The Giraffe Centre Tour",,Tour cost: US$45 per person; US$45 per person,,https://ashford-tours.com/product/kazuri-beads-factory-and-pottery-centre-karen-blixen-and-the-giraffe-centre-tour/
Nairobi Excursions,Lake Nakuru Day Trip,,Not clearly listed,,https://ashford-tours.com/product/lake-nakuru-day-trip/
Nairobi Excursions,Mount Longonot - Day Tour from Nairobi,,Tour cost: US$145 per person; US$145 per person,,https://ashford-tours.com/product/mount-longonot-day-tours/
Nairobi Excursions,Nairobi Animal Orphanage Tour - 4 Hours,,Tour cost: US$50 per person; US$50 per person,,https://ashford-tours.com/product/nairobi-animal-orpanage-tour-4-hours/
Nairobi Excursions,Nairobi National Park Tours - 4 hours,,Tour cost: US$120 per person; US$120 per person,,https://ashford-tours.com/product/nairobi-national-park-tours-4-hours/
Nairobi Excursions,Nairobi Safari Walk Day Tour - 2 Hours,,Tour cost: US$50 per person; US$50 per person,,https://ashford-tours.com/product/nairobi-safari-walk-day-tour-2-hours/
Nairobi Excursions; Mombasa Excursions,African-wildlife-safari,,US$150; US$80; Rates from US$80,,https://ashford-tours.com/product/african-wildlife-safari-2/
Tanzania - From/To Arusha,"4 Days (3 Nights): Arusha, Ngorongoro, Serengeti, Arusha",4 Days (3 Nights),Not clearly listed,Arusha - Ngorongoro National Park | Ngorongoro - Serengeti National Park | Serengeti National Park | Serengeti National Park- Arusha or Airport,https://ashford-tours.com/product/4-days-3-nights-arusha-ngorongoro-serengeti-arusha/
Tanzania - From/To Arusha,"5 Days (4 Nights): Arusha, Ngorongoro, Serengeti, L. Manyara, Arusha",5 Days (4 Nights),Not clearly listed,Arusha - Ngorongoro conservation Area | Ngorongoro conservation Area - Serengeti National Park | Serengeti National Park | Serengeti National Park - Lake Manyara National Park | Lake Manyara National Park- Arusha or Airport,https://ashford-tours.com/product/5-days-4-nights-arusha-ngorongoro-serengeti-l-manyara-arusha/
Tanzania - From/To Arusha,"6 Days (5 Nights): Arusha, Ngorongoro, Serengeti, L. Manyara, Tarangire, Arusha",6 Days (5 Nights),Not clearly listed,Arusha - Ngorongoro National Park | Ngorongoro - Serengeti National Park | Serengeti National Park | Serengeti - Lake Manyara National Park | Lake Manyara - Tarangire National Park | Tarangire National Park- Arusha or Airport,https://ashford-tours.com/product/6-days-5-nights-arusha-ngorongoro-serengeti-l-manyara-tarangire-arusha/
Tanzania - From/To Arusha,"7 Days (6 Nights): Arusha, Ngorongoro, Serengeti, L. Manyara, Tarangire, Arusha",7 Days (6 Nights),Not clearly listed,Arusha - Ngorongoro National Park | Ngorongoro conservation Area | Ngorongoro - Serengeti National Park | Serengeti National Park | Serengeti - Lake Manyara National Park | Lake Manyara - Tarangire National Park After breakfast depart for Tarangire National Park with game viewing en route unt | Tarangire National Park- Arusha or Airport,https://ashford-tours.com/product/7-days-6-nights-arusha-ngorongoro-serengeti-l-manyara-tarangire-arusha/
Tanzania - From/To Malindi,"5 Days (4 Nights): Malindi, Arusha, Ngorongoro, L. Manyara, Tarangire, Arusha, Malindi",5 Days (4 Nights),Not clearly listed,Malindi - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Lake Manyara National Park | Lake Manyara - Tarangire | Tarangire - Arusha - Malindi,https://ashford-tours.com/product/5-days-4-nights-malindi-arusha-ngorongoro-l-manyara-tarangire-arusha-malindi/
Tanzania - From/To Malindi,"7 Days (6 Nights): Malindi, Arusha, Ngorongoro, Serengeti, L. Manyara, Tarangire, Arusha, Malindi",7 Days (6 Nights),Not clearly listed,Malindi - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Serengeti National Park | Serengeti National Park | Serengeti - Lake Manyara National Park | Lake Manyara - Tarangire | Tarangire - Arusha - Malindi,https://ashford-tours.com/product/7-days-6-nights-malindi-arusha-ngorongoro-serengeti-l-manyara-tarangire-arusha-malindi/
Tanzania - From/To Mombasa,"5 Days (4 Nights): Mombasai, Arusha, Ngorongoro, L. Manyara, Tarangire, Arusha, Mombasa",5 Days (4 Nights),Not clearly listed,Mombasa - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Lake Manyara National Park | Lake Manyara - Tarangire National Park | Tarangire - Arusha - Mombasa,https://ashford-tours.com/product/5-days-4-nights-mombasai-arusha-ngorongoro-l-manyara-tarangire-arusha-mombasa/
Tanzania - From/To Mombasa,"7 Days (6 Nights): Mombasa, Arusha, Ngorongoro, Serengeti, L. Manyara, Tarangire, Arusha, Mombasa",7 Days (6 Nights),Not clearly listed,Mombasa - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Serengeti National Park | Serengeti National Park | Serengeti - Lake Manyara National Park | Lake Manyara - Tarangire National Park | Tarangire - Arusha - Mombasa,https://ashford-tours.com/product/7-days-6-nights-mombasa-arusha-ngorongoro-serengeti-l-manyara-tarangire-arusha-mombasa/
Tanzania - From/To Nairobi,"4 Days (3 Nights): Nairobi, Arusha, Ngorongoro, L. Manyara, Arusha, Nairobi",4 Days (3 Nights),Not clearly listed,Nairobi - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Lake Manyara National Park | Lake Manyara - Arusha - Nairobi,https://ashford-tours.com/product/4-days-3-nights-nairobi-arusha-ngorongoro-l-manyara-arusha-nairobi/
Tanzania - From/To Nairobi,"5 Days (4 Nights): Nairobi, Arusha, Ngorongoro, L. Manyara, Tarangire, Arusha, Nairobi",5 Days (4 Nights),Not clearly listed,Nairobi - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Lake Manyara National Park | Lake Manyara - Tarangire - Arusha - Nairobi | Tarangire - Arusha - Nairobi,https://ashford-tours.com/product/5-days-4-nights-nairobi-arusha-ngorongoro-l-manyara-tarangire-arusha-nairobi/
Tanzania - From/To Nairobi,"7 Days (6 Nights): Nairobi, Arusha, Ngorongoro, Serengeti, L. Manyara, Tarangire, Arusha, Nairobi",7 Days (6 Nights),Not clearly listed,Nairobi - Arusha | Arusha - Ngorongoro National Park | Ngorongoro - Serengeti National Park | Serengeti National Park | Serengeti - Lake Manyara National Park | Lake Manyara - Tarangire - Arusha - Nairobi | Tarangire - Arusha - Nairobi,https://ashford-tours.com/product/7-days-6-nights-nairobi-arusha-ngorongoro-serengeti-l-manyara-tarangire-arusha-nairobi/
